IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
140731840,PROSTITUTION,LOITERING FOR PURPOSE OF PROSTITUTION,Saturday,08/30/2014,22:00,MISSION,"ARREST, CITED",VERMONT ST / 24TH ST,-122.403409085,37.7531779939,"(37.7531779938926, -122.403409085175)",14073184013075
140731840,PROSTITUTION,INDECENT EXPOSURE - PROSTITUTION RELATED,Saturday,08/30/2014,22:00,MISSION,"ARREST, CITED",VERMONT ST / 24TH ST,-122.403409085,37.7531779939,"(37.7531779938926, -122.403409085175)",14073184014041
140729033,PROSTITUTION,LOITERING FOR PURPOSE OF PROSTITUTION,Saturday,08/30/2014,01:00,MISSION,"ARREST, CITED",22ND ST / CAPP ST,-122.41766064,37.755504342,"(37.7555043420028, -122.417660640341)",14072903313075
140725956,PROSTITUTION,LOITERING FOR PURPOSE OF PROSTITUTION,Friday,08/29/2014,01:10,MISSION,"ARREST, CITED",FLORIDA ST / 18TH ST,-122.411090795,37.7617009782,"(37.7617009781734, -122.411090794581)",14072595613075
140725956,PROSTITUTION,INDECENT EXPOSURE - PROSTITUTION RELATED,Friday,08/29/2014,01:10,MISSION,"ARREST, CITED",FLORIDA ST / 18TH ST,-122.411090795,37.7617009782,"(37.7617009781734, -122.411090794581)",14072595614041
140725978,PROSTITUTION,LOITERING FOR PURPOSE OF PROSTITUTION,Thursday,08/28/2014,23:00,CENTRAL,"ARREST, BOOKED",GEARY ST / MASON ST,-122.409876623,37.787148808,"(37.787148807979, -122.409876622532)",14072597813075
140720655,PROSTITUTION,HUMAN TRAFFICKING,Wednesday,08/27/2014,11:00,SOUTHERN,NONE,1700 Block of MARKET ST,-122.422188261,37.7726948237,"(37.7726948236861, -122.422188261426)",14072065513045
140719589,PROSTITUTION,HUMAN TRAFFICKING,Tuesday,08/26/2014,22:36,SOUTHERN,"ARREST, BOOKED",1700 Block of MARKET ST,-122.422188261,37.7726948237,"(37.7726948236861, -122.422188261426)",14071958913045
140719460,PROSTITUTION,HUMAN TRAFFICKING,Tuesday,08/26/2014,21:28,TARAVAL,EXCEPTIONAL CLEARANCE,1400 Block of TARAVAL ST,-122.481592052,37.7427355501,"(37.7427355500502, -122.481592052499)",14071946013045
140719056,PROSTITUTION,HUMAN TRAFFICKING,Tuesday,08/26/2014,19:07,CENTRAL,EXCEPTIONAL CLEARANCE,200 Block of SUTTER ST,-122.404828019,37.7897596938,"(37.7897596938342, -122.40482801879)",14071905613045
140718860,PROSTITUTION,HUMAN TRAFFICKING,Tuesday,08/26/2014,17:57,TENDERLOIN,EXCEPTIONAL CLEARANCE,400 Block of OFARRELL ST,-122.411747372,37.7859988324,"(37.7859988323798, -122.411747371924)",14071886013045
140703372,PROSTITUTION,LOITERING FOR PURPOSE OF PROSTITUTION,Friday,08/22/2014,01:18,TENDERLOIN,"ARREST, BOOKED",POWELL ST / GEARY ST,-122.408231026,37.787359495,"(37.787359494956, -122.408231026261)",14070337213075
140700732,PROSTITUTION,LOITERING FOR PURPOSE OF PROSTITUTION,Thursday,08/21/2014,02:00,MISSION,"ARREST, CITED",16TH ST / MISSION ST,-122.41967178,37.7650501215,"(37.7650501214668, -122.419671780296)",14070073213075
140700481,PROSTITUTION,LOITERING FOR PURPOSE OF PROSTITUTION,Wednesday,08/20/2014,23:57,MISSION,"ARREST, CITED",19TH ST / CAPP ST,-122.418120086,37.760301234,"(37.7603012340397, -122.41812008649)",14070048113075
140700522,PROSTITUTION,LOITERING FOR PURPOSE OF PROSTITUTION,Wednesday,08/20/2014,23:40,MISSION,"ARREST, CITED",ALABAMA ST / MARIPOSA ST,-122.412173946,37.7629167767,"(37.7629167766586, -122.412173946265)",14070052213075
140700522,PROSTITUTION,INDECENT EXPOSURE - PROSTITUTION RELATED,Wednesday,08/20/2014,23:40,MISSION,"ARREST, CITED",ALABAMA ST / MARIPOSA ST,-122.412173946,37.7629167767,"(37.7629167766586, -122.412173946265)",14070052214041
